Intake KPI 'MVP' has no implementation in any service or route. | 6 | G6 | invoicetool_s05_make_payments_wire_stripe_payment_processing_using_boi, invoicetool_s08_email_notifications_for_invoice_status, invoicetool_s08_email_notifications_for_invoice_status_wire_mailerlite_email_notifications_usin, wynwood_thoroughbreds_p1, wynwood_thoroughbreds_p1_contentpage
The presence of non-specified features such as "Performance Rating Distribution" and "Skills Gap Analysis" in the build output, though identified in PATCH_PLAN. | 1 | G2 | ai_workforce_intelligence
There's an inconsistency in field names; in the client editing function, `client.employee_count` is being handled as a string instead of an integer. | 1 | G2 | ai_workforce_intelligence
Incorrect assessment query method causing potential security flaw. | 1 | G2 | ai_workforce_intelligence
The build is missing `package.json`, which is required for dependency management in the frontend. | 1 | G2 | ai_workforce_intelligence
Usage of a database not configured through the lowcode boilerplate. | 1 | G2 | ai_workforce_intelligence
No valid `business/frontend/pages/*.jsx` files present. | 1 | G2 | wynwood_thoroughbreds_p1
The default monthly fee is also hardcoded rather than configurable. | 1 | G2 | wynwood_thoroughbreds_p1
Horse listing is not filtered or sorted by the attributes expected in the intake spec. | 1 | G2 | wynwood_thoroughbreds_p1
There is a missing implementation for member management routes as per the intake document. | 1 | G2 | wynwood_thoroughbreds_p1
The requirement specifies that at least one backend route should be present. No valid routes found in the frontend build artifacts. | 1 | G2 | wynwood_thoroughbreds_p1
The requirement specifies that at least one valid frontend page must be present, but it is in use in multiple places without proper handling as per the spec. | 1 | G2 | wynwood_thoroughbreds_p1
This function is utilized but not aligned with specific member handling patterns in the intake. | 1 | G2 | wynwood_thoroughbreds_p1
Required dependencies as outlined in the intake document are absent. | 1 | G2 | wynwood_thoroughbreds_p1
Compliance analysis reports in the returned type structure do not match intake expectations. | 1 | G2 | wynwood_thoroughbreds_p1
File includes a user-facing feature that was not specified in the intake document. | 1 | G2 | wynwood_thoroughbreds_p1
Missing package.json details; the required configurations and dependencies per intake document. | 1 | G2 | wynwood_thoroughbreds_p1
This file implements a "performance data" feature which may not be grounded in the original intake. | 1 | G2 | wynwood_thoroughbreds_p1
This model implements a `marketing_tag` feature which may not be grounded in the original intake requirement. | 1 | G2 | wynwood_thoroughbreds_p1
The user access token is being fetched incorrectly at multiple points. | 1 | G2 | wynwood_thoroughbreds_p1
Missing required configurations and dependencies. | 1 | G2 | wynwood_thoroughbreds_p1
The required fields are not being enforced on the horse creation form. | 1 | G2 | wynwood_thoroughbreds_p1
The `regulatory_body` column is not correctly validated against the intake requirements. | 1 | G2 | wynwood_thoroughbreds_p1
Generating reports that weren't specified as part of the deliverable. | 1 | G2 | wynwood_thoroughbreds_p1
The `monthly_fee` attribute should be consistent with the scope defined in the intake document. | 1 | G2 | wynwood_thoroughbreds_p1
Additional coverage for compliance checks that extend the initial scope. | 1 | G2 | wynwood_thoroughbreds_p1
Introducing models with features beyond those anticipated in the SOW. | 1 | G2 | wynwood_thoroughbreds_p1
Button at line 121 in Dashboard.jsx has no onClick handler — renders and looks clickable but does nothing. | 1 | G6 | wynwood_thoroughbreds_p1
Button at line 125 in Dashboard.jsx has no onClick handler — renders and looks clickable but does nothing. | 1 | G6 | wynwood_thoroughbreds_p1
Button at line 129 in Dashboard.jsx has no onClick handler — renders and looks clickable but does nothing. | 1 | G6 | wynwood_thoroughbreds_p1
Button at line 133 in Dashboard.jsx has no onClick handler — renders and looks clickable but does nothing. | 1 | G6 | wynwood_thoroughbreds_p1
Button at line 161 in Dashboard.jsx has no onClick handler — renders and looks clickable but does nothing. | 1 | G6 | wynwood_thoroughbreds_p1
Test files are not present in the build output. | 1 | G2 | ai_workforce_intelligence
Missing required artifact "artifact_manifest.json". | 1 | G2 | adversarial_ai_validator
Missing required artifact "build_state.json". | 1 | G2 | adversarial_ai_validator
Missing required artifact "execution_declaration.json". | 1 | G2 | adversarial_ai_validator
Inclusion of functionalities for adversarial analysis and advocate analysis, which may not exactly align or could extend beyond the original high-level feature requirements. | 1 | G2 | adversarial_ai_validator
The login and signup modals' display logic may not work as intended across all scenarios. | 1 | G2 | wynwood_thoroughbreds
Incorrect reference or missing function continuation for `loadMemberDashboard`. | 1 | G2 | wynwood_thoroughbreds
Missing `artifact_manifest.json` and `build_state.json` files with checksums and completion status as per governance. | 1 | G2 | wynwood_thoroughbreds
Incomplete or missing specification for handling certain member interactions such as direct founder messaging. | 1 | G2 | wynwood_thoroughbreds
Incorrect reference to `response.choices[0].message.content` without checking if `choices` is available. | 1 | G2 | adversarial_ai_validator
Missing `artifact_manifest.json` file with checksums for build artifacts. | 1 | G2 | adversarial_ai_validator
Missing `README.md` with setup/installation instructions. | 1 | G2 | adversarial_ai_validator
Added refund functionality which was not part of the intake requirements. | 1 | G2 | adversarial_ai_validator
The `artifact_manifest.json` file is absent from the build output. | 1 | G2 | adversarial_ai_validator
The `build_state.json` file is not present in the provided build output. | 1 | G2 | adversarial_ai_validator
The `README.md` file is absent from the build output. | 1 | G2 | adversarial_ai_validator
The method `scheduleUpdates()` uses `setInterval` which is a synchronous approach and may not handle real-time updates effectively. | 1 | G2 | wynwood_thoroughbreds
`mockPaymentProcess()` randomly fails with a 10% probability, but there is no error handling or user feedback mechanism if the payment fails. | 1 | G2 | wynwood_thoroughbreds
The registration form includes a step for selecting "Membership Tier" but no integration with actual product feature for different access or services based on tiers. | 1 | G2 | wynwood_thoroughbreds
Incomplete code snippet that ends mid-function, potentially leading to runtime errors. | 1 | G2 | wynwood_thoroughbreds
Additional message urging users to upgrade is always displayed and not excluded when the member has a premium or elite status. | 1 | G2 | wynwood_thoroughbreds
Payment handling and UI only mention traditional card payments without addressing "What backup payment methods should be supported?" from intake. | 1 | G2 | wynwood_thoroughbreds
`getCurrentUser` and `setUserTier` functions serve debugging purposes which were not in the scope. | 1 | G2 | wynwood_thoroughbreds
The textarea used for composing messages does not reset after a successful message send. | 1 | G2 | wynwood_thoroughbreds
There is no evidence of a reporting dashboard or basic analytics for member engagement tracking as outlined in the HLD document from intake requirements. | 1 | G2 | wynwood_thoroughbreds
The implemented solution does not mention compliance with member data privacy, which should have been addressed as per the QA report's risk register. | 1 | G2 | wynwood_thoroughbreds
Incomplete User registration endpoint. The endpoint is cut off and not functional as intended. | 1 | G2 | wynwood_thoroughbreds
Missing implementation of real-time updates for horse performance as frequent automated updates were a requirement. | 1 | G2 | wynwood_thoroughbreds
Additional feature added - "Mobile-responsive design" as the intake doesn't mention this requirement. | 1 | G2 | wynwood_thoroughbreds
The management page should have specific loading states and messages aligned with the user experience; it doesn’t align with the requirements in the intake about how to handle loading states. | 1 | G2 | wynwood_thoroughbreds
This adds new user-facing features that were not specified in the intake. | 1 | G2 | wynwood_thoroughbreds
The introduction of a `status` parameter in the get_members function was not in the intake specifications. | 1 | G2 | wynwood_thoroughbreds
The addition of the `age` property in the Horse model which was not outlined in the intake specifications. | 1 | G2 | wynwood_thoroughbreds
Unspecified forms and actions that manage horse data. | 1 | G2 | wynwood_thoroughbreds
This service is performing email advocacy activities that are outside the intended scope of original project specifications. | 1 | G2 | wynwood_thoroughbreds
Fetch logic in the Dashboard must ensure that all interactions require user authentication checks. | 1 | G2 | wynwood_thoroughbreds
The inclusion of a `status` property in the Assessment model is not defined in the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The function for calculating KPIs adds significant complexity not outlined in the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
At least one `business/frontend/pages/*.jsx` file MUST be present. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
At least one `business/backend/routes/*.py` file MUST be present. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
At least one `business/frontend/pages/*.jsx` file MUST be present — none were found in the output. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
At least one `business/frontend/pages/*.jsx` file MUST be present. The file is not present in the output. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The inclusion of a `score` property in the Assessment model is not defined in the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The `calculate_kpis` function adds significant complexity not outlined in the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The code incorrectly attempts to use a non-existent method on the `user` object. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
No user-facing components are implemented within this file. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The `score` field is not permitted according to the intake specifications. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
Calculation of KPIs not listed as required by the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The requirement specifies that at least one `business/frontend/pages/*.jsx` file must be present and functional as a page. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The inclusion of unnecessary attributes like `responses` is not specified in the intake. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
Calculation of `IMV` (Investment Market Value) is not listed in the intake as a KPI to be calculated. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The `ScoringService` includes functionality for calculating completion rates which are not specified as required metrics. | 1 | G2 | ai_workforce_intelligence_downloadable_executive_report
The function `calculateScore` is not correctly updating the assessment’s status to "completed". | 1 | G2 | ai_workforce_intelligence
The function `renderSummaryTab` seems incomplete or cut off. | 1 | G2 | ai_workforce_intelligence
Attempt to use unsupported HRIS provider. | 1 | G2 | ai_workforce_intelligence
Detailed risk factor breakdown, including categories not explicitly covered in intake. | 1 | G2 | ai_workforce_intelligence
The integration guide specifies use of "Supabase PostgreSQL" for database integration, but there is no implementation detail or explicit code showing the connection or how it integrates with the boilerplate's ORM. | 1 | G2 | ai_workforce_intelligence
Missing necessary scripts for testing. The current test script is a placeholder with no test command implemented. | 1 | G2 | ai_workforce_intelligence
Function `createDefaultContent()` inserts content without checking for existing IDs. | 1 | G2 | wynwood_thoroughbreds
The button text and state do not reflect correctly when there are no available shares. | 1 | G2 | wynwood_thoroughbreds
The `find` method being used for querying the database appears to lack integration with the `supabase`, which is used elsewhere in the services. | 1 | G2 | wynwood_thoroughbreds
The `find` method for querying the performance data appears inconsistent with the `supabase` usage seen in other service classes. | 1 | G2 | wynwood_thoroughbreds
Membership tier options in the `createMemberSchema` and `updateMemberSchema` use 'basic', 'premium', 'vip', which are not aligned with 'elite', mentioned in the intake document. | 1 | G2 | wynwood_thoroughbreds
Additional properties and methods that exceed initial HLD, such as 'form' and 'jockey' which are not specified in the intake requirements. | 1 | G2 | wynwood_thoroughbreds
The `toDatabase` method does not include `created_at` and `updated_at`. | 1 | G2 | wynwood_thoroughbreds
The performance creation test expects a `finishing_position` instead of `position`, causing test failures. | 1 | G2 | wynwood_thoroughbreds
Lacks the endpoints for educational content access control per membership tier. | 1 | G2 | wynwood_thoroughbreds
The app intended to use Supabase, but still relies on `sqlite3` for the database. | 1 | G2 | wynwood_thoroughbreds
The `addRaceResult` method is updating `race_record` without ensuring `finishing_position` is within valid range (1, 2, 3). | 1 | G2 | wynwood_thoroughbreds
The `authenticate` method documentation comments say "always succeeds for demo", which suggests incorrect authentication logic implementation. | 1 | G2 | wynwood_thoroughbreds
The implementation of `getBreedingAnalysis` is not specified in the original intake requirements or HLD. | 1 | G2 | wynwood_thoroughbreds
The test 'should create horse with correct properties' references `horse.race_history` which does not exist in `Horse` model. | 1 | G2 | wynwood_thoroughbreds
The file implements a `MockRacingDataService` that should ideally utilize the boilerplate infrastructure for API integrations instead (e.g., external data source service patterns). | 1 | G2 | wynwood_thoroughbreds
Test case references nonexistent `status` and `racing_record` properties of the Horse model. | 1 | G2 | wynwood_thoroughbreds
`calculateHorseValue` method calls a nonexistent `getWinRate` method on Horse. | 1 | G2 | wynwood_thoroughbreds
Events management (particularly non-horse related events) not specified in the intake document. | 1 | G2 | wynwood_thoroughbreds
Tests are missing for the provided business logic | 1 | G2 | wynwood_thoroughbreds
The method `generatePerformanceReport` involves advanced analytics features not explicitly mentioned in the intake | 1 | G2 | wynwood_thoroughbreds
The BreedingAnalysis component provides advanced analytics that may not align precisely with intake requirements | 1 | G2 | wynwood_thoroughbreds
The `package.json` file contains a generic description that doesn't align with the specific nature of the project as outlined in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The presence of `SDK` and `MVP` related methods suggests an extension of functionality beyond what was requested. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Presence of a cached Python file which should not be part of the deployed artifacts. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Absence of required frontend files; must have at least one page implemented. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The cost calculation includes a division by 1000, which is incorrect for the given rates. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The payment status verification does not handle errors raised during session retrieval appropriately. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The model’s column `"id"` was not outlined in the intake requirements. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `startup_idea` field was not specified in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The introduction of AI scoring and detailed analysis response handling expands beyond the initial scope. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The scoring metrics used to evaluate the analysis were not part of the intake request. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The method assumes that the session will always return a payment status, failing to check if the session exists. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The pricing configuration may not align with what was defined in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
This method may introduce additional capabilities not outlined in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The addition of dynamic response handling is not included in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
This reporting seems excessive compared to the intake which requested only structured verdicts. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `description` field is too generic and does not provide a specific overview of the service. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The method `verify_payment_completed` should check the payment status correctly. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
`.pyc` files are not applicable to the source code and should be excluded from deployment. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
These fields represent additional complexity outside of what was requested in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The validity check for a paid session should handle any potential False return properly. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The homepage as defined must utilize a specific file structure and content defined in the intake; this page lacks compliance. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Methods performing extensive marketing analyses exceed the implementations required by the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
No verification in the flow to ensure the payment session was processed correctly. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `create_checkout_session` method is creating a checkout session with an incorrect price of `$99.00`, but the analysis is defined as $8.00 in the frontend. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `generate_analysis_report` method incorrectly handles generated analysis if the processing status is not "completed." This indicates that it's incomplete and should signal a workflow error. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `market_size` and related metrics were not explicitly defined in the intake specifications. They imply additional analysis complexity that falls outside the outlined capabilities. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The introduction of complexity scoring metrics suggests a change in the intended feature set that was not part of the original proposal and can lead to various expectations. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The calculation of the payment amount is incorrect. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The payment verification method does not handle errors correctly, which could cause failures. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The methods introduced here for scoring metrics suggest new features not in the provided intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The `competition_level` property represents additional complexity that was not explicitly defined in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
This input field suggests new integrations with features not specified in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
The adjusted logic for the report generation implies new user-facing features that were not included in the intake. | 1 | G2 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Service AnalysisService.py accesses Analysis.advocate_response which does not exist on the model — will raise AttributeError at runtime. | 1 | G6 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Service AnalysisService.py accesses Analysis.adversary_response which does not exist on the model — will raise AttributeError at runtime. | 1 | G6 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
Service AnalysisService.py accesses Analysis.structured_verdict which does not exist on the model — will raise AttributeError at runtime. | 1 | G6 | adversarial_ai_validator_implement_stripe_pay_per_analysis_checko
There should be field validation checks for the `ManualInvoiceEntryForm` model before attempting to create a record in the database. | 1 | G2 | invoicetool_s07_manual_invoice_entry_form
package.json is incomplete; it fails to specify critical modules or libraries that are essential for building, running, or deploying the application. | 1 | G2 | invoicetool_s04_view_invoices
`README.md` with setup/installation instructions is missing. | 1 | G2 | adversarial_ai_validator
The artifact file `prisma/schema.prisma` mentioned in the `artifact_manifest.json` is not listed in the provided files under BUILD OUTPUT FROM CLAUDE. Additionally, there is no mention of creating a Prisma schema or its usage in the build instructions. | 1 | G2 | adversarial_ai_validator
The README.md is missing configuration guidance for development and production environments. | 1 | G2 | adversarial_ai_validator
Environment configuration guidance is missing from `README.md`. | 1 | G2 | adversarial_ai_validator
`.env.example` file is missing. | 1 | G2 | adversarial_ai_validator
Incorrect cost calculation for OpenAI service tokens. | 1 | G2 | adversarial_ai_validator
The payment verification functionality described in the build output references a `paymentService.js`, which seems to handle payment token verification, yet this file was not included in the actual implementation or the artifact manifest. | 1 | G2 | adversarial_ai_validator
The file `business/src/pages/api/validate.js` is missing from the `artifact_manifest.json`. | 1 | G2 | adversarial_ai_validator
Missing test files for the code implemented. | 1 | G2 | adversarial_ai_validator
The `artifact_manifest.json` does not list test artifacts or potential missing artifact files that validate implementation (no references to test scripts or results). | 1 | G2 | adversarial_ai_validator
Includes "Comparison" tab which offers features for side-by-side comparison of advocate and adversary views; while a thorough analysis was required, specific UI features for this comparison were not explicitly listed in intake. | 1 | G2 | adversarial_ai_validator
Required README.md file with setup/installation instructions is missing. | 1 | G2 | adversarial_ai_validator
The test cases in `test_assessments.py` are trying to access fields like "assessmentId" whereas the endpoint returns "id". | 1 | G2 | ai_workforce_intelligence
The Client Data Input page allows the user to select a client arbitrarily without role-based access control. | 1 | G2 | ai_workforce_intelligence
The integration guide mentions several HRIS providers and configuration steps which might indicate an external integration feature not clearly specified in the intake. | 1 | G2 | ai_workforce_intelligence
There are no checks evident that ensure the file is in the required frontend format. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
There is no HTTP 204 No Content response when a horse profile is deleted; this is considered poor practice. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
No validation has been implemented for required fields when adding/updating horse profiles. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
The configuration of the response model doesn't align with what was in the intake that expects different properties. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
The `racing_record` field is included in the `HorseProfileResponse` schema but is undocumented in the intake. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
The `status` field is present in the `HorseProfileResponse` schema which was not specified in the intake. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
The `racing_record` field is included in the `HorseProfile` model which was not documented in the intake specifications. | 1 | G2 | wynwood_thoroughbreds_p1_horseprofile
No unit tests are provided for the assessments frontend page. | 1 | G2 | ai_workforce_intelligence_kpi_scoring_engine
The model includes an `owner_id` field, which is not permitted according to intake requirements. | 1 | G2 | ai_workforce_intelligence_kpi_scoring_engine
Sequelize models have been added (`Client`, `KPI`, `Report`) which introduce user-facing features such as different company sizes and metric types not covered in the intake requirements. | 1 | G2 | ai_workforce_intelligence
